customer_id,name,email,phone,date_of_birth
1,Shellysheldon Sherwood,ssherwood0@sfgate.com,666-676-1546,1955-01-05
2,Jobina Ciardo,jciardo1@blog.com,416-741-6588,2005-06-16
3,Desirae Edgerly,dedgerly2@naver.com,253-555-3531,1977-04-28
4,Stevana Stearndale,sstearndale3@odnoklassniki.ru,138-200-5855,1986-06-23
5,Isabelita Ebbins,iebbins4@bloglovin.com,426-252-5889,1999-02-12
6,Kathryn Scawn,kscawn5@utexas.edu,321-318-1850,1987-05-04
7,Nicoli Ibanez,nibanez6@jigsy.com,568-773-1384,1982-06-25
8,Helen De Cruze,hde7@google.fr,572-759-8384,1992-11-06
9,Madonna McAllester,mmcallester8@google.nl,124-116-7224,2018-04-22
10,Bunny MacGilpatrick,bmacgilpatrick9@nps.gov,641-113-5946,1977-11-06
11,Brinn Norcock,bnorcocka@multiply.com,458-909-6103,2016-04-19
12,Brod Calvard,bcalvardb@ovh.net,920-188-4983,2012-11-03
13,Sharline O'Cannovane,socannovanec@liveinternet.ru,490-882-8354,1954-02-26
14,Nelly Avraam,navraamd@dion.ne.jp,920-293-0962,1953-02-15
15,Raquela Peddowe,rpeddowee@smh.com.au,936-189-1312,2001-10-22
16,Becca Matterdace,bmatterdacef@amazon.co.uk,843-304-1190,1996-07-06
17,Mommy Wile,mwileg@cbc.ca,945-931-4315,1986-05-28
18,Rossy Beauchamp,rbeauchamph@thetimes.co.uk,564-776-0799,1956-09-16
19,Leo Dagworthy,ldagworthyi@cyberchimps.com,663-859-5546,1966-02-24
20,Nerti Sammonds,nsammondsj@desdev.cn,235-318-6388,2008-12-04
21,Letizia Yuryshev,lyuryshevk@rambler.ru,790-565-4625,1965-09-05
22,Boony Fynan,bfynanl@sphinn.com,280-502-2661,1954-10-14
23,Conchita Littlemore,clittlemorem@smugmug.com,770-155-0517,2009-07-17
24,Darill Base,dbasen@cafepress.com,386-920-3736,2011-08-09
25,Vick Iorio,viorioo@yelp.com,446-275-1899,1985-01-16
26,Manuel Huertas,mhuertasp@nature.com,408-338-5760,1961-07-05
27,Wolf Cregeen,wcregeenq@wufoo.com,775-326-3762,1959-12-31
28,Chelsy Lovewell,clovewellr@intel.com,782-778-9295,2015-02-27
29,Portia Manes,pmaness@icio.us,605-763-4621,1971-12-14
30,Abrahan O'Donoghue,aodonoghuet@gov.uk,709-482-3173,1957-09-12
31,Mehetabel Camsey,mcamseyu@economist.com,830-808-0724,1974-11-29
32,Orv Chirm,ochirmv@delicious.com,869-826-1180,1963-09-19
33,Callean Meese,cmeesew@cyberchimps.com,859-665-1898,1966-10-24
34,Marena Sandars,msandarsx@mysql.com,348-821-1187,1980-10-27
35,Frants Cullimore,fcullimorey@bloglovin.com,122-975-7960,1990-05-21
36,Ainslee Whoolehan,awhoolehanz@cmu.edu,592-806-0356,1987-07-01
37,Karoly Aslum,kaslum10@amazon.com,638-202-4526,1983-07-10
38,Haven Kubecka,hkubecka11@artisteer.com,314-546-5890,1965-12-14
39,Vinson Drayson,vdrayson12@stumbleupon.com,650-631-2209,2016-03-18
40,Serge Wapplington,swapplington13@tinypic.com,933-500-4506,1952-04-02
41,Ketty Pozer,kpozer14@cdbaby.com,604-717-5323,1998-03-25
42,Waylon Mainston,wmainston15@wordpress.com,133-407-9795,1951-10-12
43,Koren Grigg,kgrigg16@g.co,473-593-7007,1986-02-15
44,Ara Younie,ayounie17@cloudflare.com,185-800-0905,1989-06-16
45,Sandye Oury,soury18@hc360.com,783-187-2165,1986-10-13
46,Aurel Smaile,asmaile19@hud.gov,604-174-9395,2019-09-30
47,Celestyna Delamaine,cdelamaine1a@prweb.com,208-433-1091,1988-11-07
48,Paige Simes,psimes1b@google.com.hk,750-283-6166,2002-12-03
